Id,Iq,Phi_d,Phi_q
-261.538462,53.846154,0.0177700216636,-5.95518523749e-05
-261.538462,61.538462,0.0192395192207,0.00412599823277
-261.538462,69.230769,0.0204606497888,0.00828830667987
-261.538462,76.923077,0.0224329117375,0.0124498097203
-261.538462,84.615385,0.0233754144916,0.016595439472
-261.538462,92.307692,0.0250474631759,0.0207631898654
-261.538462,100.000000,0.0265532083892,0.0249274634608
-261.538462,107.692308,0.0279106332674,0.0290231632331
-261.538462,115.384615,0.0291846307098,0.032871465986
-261.538462,123.076923,0.0304284842644,0.0364572541305
-261.538462,130.769231,0.0316257374819,0.0399168045227
-261.538462,138.461538,0.0328451365071,0.0433160467575
-261.538462,146.153846,0.0340942383084,0.0466925403631
-261.538462,153.846154,0.035287721399,0.0500771124292
-261.538462,161.538462,0.0364783992822,0.0535227014221
-261.538462,169.230769,0.0376883486404,0.0570688076904
-261.538462,176.923077,0.0388857758741,0.0606065829271
-261.538462,184.615385,0.0400689306929,0.064061101676
-261.538462,192.307692,0.0411850967436,0.0674003872371
-261.538462,200.000000,0.0422159724694,0.070615617331
-261.538462,207.692308,0.0432097349562,0.0737428560213
-261.538462,215.384615,0.0442458403309,0.0768429501551
-261.538462,223.076923,0.0454232059287,0.0801899557479
-261.538462,230.769231,0.0462647877372,0.0831510846942
-261.538462,238.461538,0.047317701426,0.086170837731
-261.538462,246.153846,0.0481286006064,0.0890900558915
-261.538462,253.846154,0.0490784491912,0.0918713947619
-261.538462,261.538462,0.0500694890807,0.0948355601992
-261.538462,269.230769,0.0506808572036,0.0972269469029
-261.538462,276.923077,0.0516093545704,0.100027238969
-261.538462,284.615385,0.0526266999039,0.102911753459
-261.538462,292.307692,0.0534130634791,0.10541903602
-261.538462,300.000000,0.0541679804354,0.107877805112
-253.846154,0.000000,0.00740227062527,-0.0290747109607
-253.846154,7.692308,0.00886386803443,-0.0247952857414
-253.846154,15.384615,0.0103444797439,-0.0204324658853
-253.846154,23.076923,0.0118249730968,-0.0160681721194
-253.846154,30.769231,0.013350398505,-0.0117412445707
-253.846154,38.461538,0.0148861351375,-0.00743724933999
-253.846154,46.153846,0.0164565115766,-0.00315782379789
-253.846154,53.846154,0.0180059929252,0.00108650200233
-253.846154,61.538462,0.0197202935924,0.00530655416865
-253.846154,69.230769,0.0208336529348,0.00951718141238
